-81,-67,-83,1
-76,-71,-84,1
-72,-50,-90,1
-80,-71,-88,1
-85,-62,-78,1
-75,-70,-82,1
-80,-49,-85,1
-90,-71,-90,1
-71,-65,-82,1
-75,-66,-87,1
-74,-69,-80,1
-69,-71,-86,1
-74,-70,-85,1
-69,-66,-82,1
-73,-60,-77,1
-69,-81,-81,1
-86,-59,-77,1
-71,-53,-86,1
-65,-66,-81,1
-79,-67,-86,1
-77,-75,-79,1
-72,-61,-81,1
-69,-61,-81,1
-70,-59,-86,1
-70,-61,-83,1
-68,-48,-83,1
-68,-67,-77,1
-88,-67,-85,1
-90,-62,-82,1
-67,-56,-71,1
-74,-73,-88,1
-64,-71,-86,2
-52,-69,-87,2
-59,-68,-87,2
-62,-86,-87,2
-63,-80,-87,2
-65,-71,-87,2
-63,-80,-87,2
-63,-67,-85,2
-59,-67,-85,2
-60,-77,-85,2
-58,-67,-85,2
-68,-86,-85,2
-40,-87,-88,2
-54,-70,-77,2
-67,-72,-89,2
-69,-68,-81,2
-56,-86,-89,2
-75,-69,-80,2
-64,-72,-87,2
-72,-81,-90,2
-60,-72,-85,2
-64,-72,-91,2
-51,-78,-85,2
-87,-73,-63,3
-76,-66,-69,3
-79,-68,-79,3
-73,-67,-83,3
-79,-65,-70,3
-73,-67,-67,3
-81,-75,-65,3
-84,-73,-64,3
-79,-64,-67,3
-79,-78,-64,3
-84,-71,-70,3
-85,-78,-71,3
-85,-79,-64,3
-85,-87,-74,3
-92,-74,-51,3
-78,-80,-51,3
-78,-86,-57,3
-78,-72,-59,3
-87,-83,-59,3
-87,-86,-53,3
-88,-73,-61,3
-79,-71,-66,3
-80,-68,-69,3
-75,-71,-58,3
-84,-76,-61,3
